"SECONDS";"PID";"VALUE";"UNITS";
"55091.971103";"Intake manifold absolute pressure";"44";"kPa";
"55092.217103";"Short term fuel % trim - Bank 1";"0";"%";
"55092.472103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55092.717103";"Calculated boost";"-0.57325";"bar";
"55092.717103";"Intake manifold absolute pressure";"44";"kPa";
"55092.942103";"Short term fuel % trim - Bank 1";"0";"%";
"55093.166103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55093.409103";"Calculated boost";"-0.56325";"bar";
"55093.409103";"Intake manifold absolute pressure";"45";"kPa";
"55093.667103";"Short term fuel % trim - Bank 1";"0";"%";
"55093.917103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55094.144103";"Calculated boost";"-0.57325";"bar";
"55094.144103";"Intake manifold absolute pressure";"44";"kPa";
"55094.382103";"Short term fuel % trim - Bank 1";"0";"%";
"55094.600103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55094.849103";"Calculated boost";"-0.56325";"bar";
"55094.849103";"Intake manifold absolute pressure";"45";"kPa";
"55095.117103";"Short term fuel % trim - Bank 1";"0";"%";
"55095.338103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55095.561103";"Calculated boost";"-0.56325";"bar";
"55095.561103";"Intake manifold absolute pressure";"45";"kPa";
"55095.809103";"Short term fuel % trim - Bank 1";"0";"%";
"55096.070103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55096.295103";"Calculated boost";"-0.55325";"bar";
"55096.295103";"Intake manifold absolute pressure";"46";"kPa";
"55096.534103";"Short term fuel % trim - Bank 1";"0";"%";
"55096.750103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55096.974103";"Calculated boost";"-0.54325";"bar";
"55096.974103";"Intake manifold absolute pressure";"47";"kPa";
"55097.213103";"Short term fuel % trim - Bank 1";"0";"%";
"55097.456103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55097.673103";"Calculated boost";"-0.54325";"bar";
"55097.673103";"Intake manifold absolute pressure";"47";"kPa";
"55097.949103";"Short term fuel % trim - Bank 1";"0";"%";
"55098.175103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55098.416103";"Calculated boost";"-0.54325";"bar";
"55098.416103";"Intake manifold absolute pressure";"47";"kPa";
"55098.638103";"Short term fuel % trim - Bank 1";"0";"%";
"55098.855103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55099.072103";"Calculated boost";"-0.56325";"bar";
"55099.072103";"Intake manifold absolute pressure";"45";"kPa";
"55099.309103";"Short term fuel % trim - Bank 1";"0";"%";
"55099.523103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55099.751103";"Calculated boost";"-0.56325";"bar";
"55099.751103";"Intake manifold absolute pressure";"45";"kPa";
"55099.966103";"Short term fuel % trim - Bank 1";"0";"%";
"55100.211103";"Long term fuel % trim - Bank 1";"0";"%";
"55100.445103";"Calculated boost";"-0.57325";"bar";
"55100.445103";"Intake manifold absolute pressure";"44";"kPa";
"55100.681103";"Short term fuel % trim - Bank 1";"0";"%";
"55100.949103";"Long term fuel % trim - Bank 1";"0";"%";
"55101.189103";"Calculated boost";"-0.58325";"bar";
"55101.189103";"Intake manifold absolute pressure";"43";"kPa";
"55101.422103";"Short term fuel % trim - Bank 1";"0";"%";
"55101.635103";"Long term fuel % trim - Bank 1";"0";"%";
"55101.864103";"Calculated boost";"-0.58325";"bar";
"55101.864103";"Intake manifold absolute pressure";"43";"kPa";
"55102.111103";"Short term fuel % trim - Bank 1";"-5.46875";"%";
"55102.378103";"Long term fuel % trim - Bank 1";"0";"%";
"55102.607103";"Calculated boost";"-0.58325";"bar";
"55102.607103";"Intake manifold absolute pressure";"43";"kPa";
"55102.834103";"Short term fuel % trim - Bank 1";"-6.25";"%";
"55103.050103";"Long term fuel % trim - Bank 1";"0";"%";
"55103.290103";"Calculated boost";"-0.58325";"bar";
"55103.290103";"Intake manifold absolute pressure";"43";"kPa";
"55103.516103";"Short term fuel % trim - Bank 1";"-7.03125";"%";
"55103.743103";"Long term fuel % trim - Bank 1";"0";"%";
"55103.969103";"Calculated boost";"-0.59325";"bar";
"55103.969103";"Intake manifold absolute pressure";"42";"kPa";
"55104.192103";"Short term fuel % trim - Bank 1";"-10.15625";"%";
"55104.431103";"Long term fuel % trim - Bank 1";"0";"%";
"55104.709103";"Calculated boost";"-0.59325";"bar";
"55104.709103";"Intake manifold absolute pressure";"42";"kPa";
"55104.932103";"Short term fuel % trim - Bank 1";"-13.28125";"%";
"55105.151103";"Long term fuel % trim - Bank 1";"0";"%";
"55105.377103";"Calculated boost";"-0.59325";"bar";
"55105.377103";"Intake manifold absolute pressure";"42";"kPa";
"55105.615103";"Short term fuel % trim - Bank 1";"-9.375";"%";
"55105.829103";"Long term fuel % trim - Bank 1";"0";"%";
"55106.044103";"Calculated boost";"-0.59325";"bar";
"55106.044103";"Intake manifold absolute pressure";"42";"kPa";
"55106.268103";"Short term fuel % trim - Bank 1";"-10.9375";"%";
"55106.517103";"Long term fuel % trim - Bank 1";"0";"%";
"55106.749103";"Calculated boost";"-0.59325";"bar";
"55106.749103";"Intake manifold absolute pressure";"42";"kPa";
"55106.971103";"Short term fuel % trim - Bank 1";"-14.0625";"%";
"55107.195103";"Long term fuel % trim - Bank 1";"0";"%";
"55107.429103";"Calculated boost";"-0.59325";"bar";
"55107.429103";"Intake manifold absolute pressure";"42";"kPa";
"55107.716103";"Short term fuel % trim - Bank 1";"-10.15625";"%";
"55107.957103";"Long term fuel % trim - Bank 1";"0";"%";
"55108.173103";"Calculated boost";"-0.58325";"bar";
"55108.173103";"Intake manifold absolute pressure";"43";"kPa";
"55108.406103";"Short term fuel % trim - Bank 1";"-7.8125";"%";
"55108.680103";"Long term fuel % trim - Bank 1";"0";"%";
"55108.910103";"Calculated boost";"-0.59325";"bar";
"55108.910103";"Intake manifold absolute pressure";"42";"kPa";
"55109.136103";"Short term fuel % trim - Bank 1";"-7.8125";"%";
"55109.373103";"Long term fuel % trim - Bank 1";"0";"%";
"55109.615103";"Calculated boost";"-0.59325";"bar";
"55109.615103";"Intake manifold absolute pressure";"42";"kPa";
"55109.855103";"Short term fuel % trim - Bank 1";"-10.9375";"%";
"55110.116103";"Long term fuel % trim - Bank 1";"0";"%";
"55110.359103";"Calculated boost";"-0.60325";"bar";
"55110.359103";"Intake manifold absolute pressure";"41";"kPa";
"55110.595103";"Short term fuel % trim - Bank 1";"-14.0625";"%";
"55110.820103";"Long term fuel % trim - Bank 1";"0";"%";
"55111.067103";"Calculated boost";"-0.60325";"bar";
"55111.067103";"Intake manifold absolute pressure";"41";"kPa";
"55111.290103";"Short term fuel % trim - Bank 1";"-17.1875";"%";
"55111.544103";"Long term fuel % trim - Bank 1";"0";"%";
"55111.771103";"Calculated boost";"-0.60325";"bar";
"55111.771103";"Intake manifold absolute pressure";"41";"kPa";
"55112.010103";"Short term fuel % trim - Bank 1";"-13.28125";"%";
"55112.233103";"Long term fuel % trim - Bank 1";"0";"%";
"55112.495103";"Calculated boost";"-0.59325";"bar";
"55112.495103";"Intake manifold absolute pressure";"42";"kPa";
"55112.739103";"Short term fuel % trim - Bank 1";"-13.28125";"%";
"55112.965103";"Long term fuel % trim - Bank 1";"0";"%";
"55113.199103";"Calculated boost";"-0.59325";"bar";
"55113.199103";"Intake manifold absolute pressure";"42";"kPa";
"55113.431103";"Short term fuel % trim - Bank 1";"-14.84375";"%";
"55113.673103";"Long term fuel % trim - Bank 1";"0";"%";
"55113.939103";"Calculated boost";"-0.59325";"bar";
"55113.939103";"Intake manifold absolute pressure";"42";"kPa";
"55114.181103";"Short term fuel % trim - Bank 1";"-17.96875";"%";
"55114.407103";"Long term fuel % trim - Bank 1";"0";"%";
"55114.637103";"Calculated boost";"-0.60325";"bar";
"55114.637103";"Intake manifold absolute pressure";"41";"kPa";
"55114.889103";"Short term fuel % trim - Bank 1";"-16.40625";"%";
"55115.111103";"Long term fuel % trim - Bank 1";"0";"%";
"55115.351103";"Calculated boost";"-0.59325";"bar";
"55115.351103";"Intake manifold absolute pressure";"42";"kPa";
"55115.606103";"Short term fuel % trim - Bank 1";"-16.40625";"%";
"55115.862103";"Long term fuel % trim - Bank 1";"0";"%";
"55116.097103";"Calculated boost";"-0.59325";"bar";
"55116.097103";"Intake manifold absolute pressure";"42";"kPa";
"55116.339103";"Short term fuel % trim - Bank 1";"-18.75";"%";
"55116.562103";"Long term fuel % trim - Bank 1";"0";"%";
"55116.789103";"Calculated boost";"-0.59325";"bar";
"55116.789103";"Intake manifold absolute pressure";"42";"kPa";
"55117.016103";"Short term fuel % trim - Bank 1";"-21.09375";"%";
"55117.246103";"Long term fuel % trim - Bank 1";"0";"%";
"55117.470103";"Calculated boost";"-0.59325";"bar";
"55117.470103";"Intake manifold absolute pressure";"42";"kPa";
"55117.717103";"Short term fuel % trim - Bank 1";"-17.96875";"%";
"55117.945103";"Long term fuel % trim - Bank 1";"0";"%";
"55118.197103";"Calculated boost";"-0.59325";"bar";
"55118.197103";"Intake manifold absolute pressure";"42";"kPa";
"55118.427103";"Short term fuel % trim - Bank 1";"-17.96875";"%";
"55118.655103";"Long term fuel % trim - Bank 1";"0";"%";
"55118.930103";"Calculated boost";"-0.59325";"bar";
"55118.930103";"Intake manifold absolute pressure";"42";"kPa";
"55119.178103";"Short term fuel % trim - Bank 1";"-21.09375";"%";
"55119.391103";"Long term fuel % trim - Bank 1";"0";"%";
"55119.642103";"Calculated boost";"-0.59325";"bar";
"55119.642103";"Intake manifold absolute pressure";"42";"kPa";
"55119.997103";"Short term fuel % trim - Bank 1";"-22.65625";"%";
"55120.223103";"Long term fuel % trim - Bank 1";"0";"%";
"55120.472103";"Calculated boost";"-0.59325";"bar";
"55120.472103";"Intake manifold absolute pressure";"42";"kPa";
"55120.693103";"Short term fuel % trim - Bank 1";"-21.09375";"%";
"55120.927103";"Long term fuel % trim - Bank 1";"0";"%";
"55121.171103";"Calculated boost";"-0.59325";"bar";
"55121.171103";"Intake manifold absolute pressure";"42";"kPa";
"55121.392103";"Short term fuel % trim - Bank 1";"-18.75";"%";
"55121.623103";"Long term fuel % trim - Bank 1";"0";"%";
"55121.855103";"Calculated boost";"-0.59325";"bar";
"55121.855103";"Intake manifold absolute pressure";"42";"kPa";
"55122.091103";"Short term fuel % trim - Bank 1";"-21.875";"%";
"55122.318103";"Long term fuel % trim - Bank 1";"0";"%";
"55122.558103";"Calculated boost";"-0.59325";"bar";
"55122.558103";"Intake manifold absolute pressure";"42";"kPa";
"55122.796103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55123.064103";"Long term fuel % trim - Bank 1";"0";"%";
"55123.280103";"Calculated boost";"-0.59325";"bar";
"55123.280103";"Intake manifold absolute pressure";"42";"kPa";
"55123.506103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55123.727103";"Long term fuel % trim - Bank 1";"0";"%";
"55123.956103";"Calculated boost";"-0.59325";"bar";
"55123.956103";"Intake manifold absolute pressure";"42";"kPa";
"55124.178103";"Short term fuel % trim - Bank 1";"-21.875";"%";
"55124.406103";"Long term fuel % trim - Bank 1";"0";"%";
"55124.641103";"Calculated boost";"-0.59325";"bar";
"55124.641103";"Intake manifold absolute pressure";"42";"kPa";
"55124.884103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55125.121103";"Long term fuel % trim - Bank 1";"0";"%";
"55125.363103";"Calculated boost";"-0.59325";"bar";
"55125.363103";"Intake manifold absolute pressure";"42";"kPa";
"55125.595103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55125.830103";"Long term fuel % trim - Bank 1";"0";"%";
"55126.062103";"Calculated boost";"-0.59325";"bar";
"55126.062103";"Intake manifold absolute pressure";"42";"kPa";
"55126.274103";"Short term fuel % trim - Bank 1";"-21.09375";"%";
"55126.495103";"Long term fuel % trim - Bank 1";"0";"%";
"55126.716103";"Calculated boost";"-0.58325";"bar";
"55126.716103";"Intake manifold absolute pressure";"43";"kPa";
"55126.945103";"Short term fuel % trim - Bank 1";"-22.65625";"%";
"55127.182103";"Long term fuel % trim - Bank 1";"0";"%";
"55127.405103";"Calculated boost";"-0.59325";"bar";
"55127.405103";"Intake manifold absolute pressure";"42";"kPa";
"55127.627103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55127.846103";"Long term fuel % trim - Bank 1";"0";"%";
"55128.087103";"Calculated boost";"-0.59325";"bar";
"55128.087103";"Intake manifold absolute pressure";"42";"kPa";
"55128.328103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55128.546103";"Long term fuel % trim - Bank 1";"0";"%";
"55128.762103";"Calculated boost";"-0.59325";"bar";
"55128.762103";"Intake manifold absolute pressure";"42";"kPa";
"55128.985103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55129.225103";"Long term fuel % trim - Bank 1";"0";"%";
"55129.482103";"Calculated boost";"-0.59325";"bar";
"55129.482103";"Intake manifold absolute pressure";"42";"kPa";
"55129.711103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55129.945103";"Long term fuel % trim - Bank 1";"0";"%";
"55130.177103";"Calculated boost";"-0.59325";"bar";
"55130.177103";"Intake manifold absolute pressure";"42";"kPa";
"55130.423103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55130.655103";"Long term fuel % trim - Bank 1";"0";"%";
"55130.902103";"Calculated boost";"-0.60325";"bar";
"55130.902103";"Intake manifold absolute pressure";"41";"kPa";
"55131.147103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55131.375103";"Long term fuel % trim - Bank 1";"0";"%";
"55131.600103";"Calculated boost";"-0.60325";"bar";
"55131.600103";"Intake manifold absolute pressure";"41";"kPa";
"55131.827103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55132.088103";"Long term fuel % trim - Bank 1";"0";"%";
"55132.312103";"Calculated boost";"-0.60325";"bar";
"55132.312103";"Intake manifold absolute pressure";"41";"kPa";
"55132.586103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55132.829103";"Long term fuel % trim - Bank 1";"0";"%";
"55133.066103";"Calculated boost";"-0.60325";"bar";
"55133.066103";"Intake manifold absolute pressure";"41";"kPa";
"55133.298103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55133.542103";"Long term fuel % trim - Bank 1";"0";"%";
"55133.773103";"Calculated boost";"-0.59325";"bar";
"55133.773103";"Intake manifold absolute pressure";"42";"kPa";
"55133.986103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55134.220103";"Long term fuel % trim - Bank 1";"0";"%";
"55134.447103";"Calculated boost";"-0.60325";"bar";
"55134.447103";"Intake manifold absolute pressure";"41";"kPa";
"55134.691103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55134.929103";"Long term fuel % trim - Bank 1";"0";"%";
"55135.175103";"Calculated boost";"-0.60325";"bar";
"55135.175103";"Intake manifold absolute pressure";"41";"kPa";
"55135.411103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55135.634103";"Long term fuel % trim - Bank 1";"0";"%";
"55135.857103";"Calculated boost";"-0.60325";"bar";
"55135.857103";"Intake manifold absolute pressure";"41";"kPa";
"55136.089103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55136.329103";"Long term fuel % trim - Bank 1";"0";"%";
"55136.552103";"Calculated boost";"-0.60325";"bar";
"55136.552103";"Intake manifold absolute pressure";"41";"kPa";
"55136.797103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55137.012103";"Long term fuel % trim - Bank 1";"0";"%";
"55137.234103";"Calculated boost";"-0.60325";"bar";
"55137.234103";"Intake manifold absolute pressure";"41";"kPa";
"55137.453103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55137.678103";"Long term fuel % trim - Bank 1";"0";"%";
"55137.930103";"Calculated boost";"-0.58325";"bar";
"55137.930103";"Intake manifold absolute pressure";"43";"kPa";
"55138.168103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55138.413103";"Long term fuel % trim - Bank 1";"0";"%";
"55138.661103";"Calculated boost";"-0.57325";"bar";
"55138.661103";"Intake manifold absolute pressure";"44";"kPa";
"55138.886103";"Short term fuel % trim - Bank 1";"-21.09375";"%";
"55139.100103";"Long term fuel % trim - Bank 1";"0";"%";
"55139.338103";"Calculated boost";"-0.57325";"bar";
"55139.338103";"Intake manifold absolute pressure";"44";"kPa";
"55139.564103";"Short term fuel % trim - Bank 1";"-18.75";"%";
"55139.809103";"Long term fuel % trim - Bank 1";"0";"%";
"55140.042103";"Calculated boost";"-0.57325";"bar";
"55140.042103";"Intake manifold absolute pressure";"44";"kPa";
"55140.275103";"Short term fuel % trim - Bank 1";"-21.09375";"%";
"55140.492103";"Long term fuel % trim - Bank 1";"0";"%";
"55140.719103";"Calculated boost";"-0.56325";"bar";
"55140.719103";"Intake manifold absolute pressure";"45";"kPa";
"55140.949103";"Short term fuel % trim - Bank 1";"-21.09375";"%";
"55141.181103";"Long term fuel % trim - Bank 1";"0";"%";
"55141.410103";"Calculated boost";"-0.55325";"bar";
"55141.410103";"Intake manifold absolute pressure";"46";"kPa";
"55141.636103";"Short term fuel % trim - Bank 1";"-18.75";"%";
"55141.895103";"Long term fuel % trim - Bank 1";"0";"%";
"55142.130103";"Calculated boost";"-0.56325";"bar";
"55142.130103";"Intake manifold absolute pressure";"45";"kPa";
"55142.358103";"Short term fuel % trim - Bank 1";"-21.09375";"%";
"55142.581103";"Long term fuel % trim - Bank 1";"0";"%";
"55142.811103";"Calculated boost";"-0.56325";"bar";
"55142.811103";"Intake manifold absolute pressure";"45";"kPa";
"55143.027103";"Short term fuel % trim - Bank 1";"-22.65625";"%";
"55143.243103";"Long term fuel % trim - Bank 1";"0";"%";
"55143.481103";"Calculated boost";"-0.54325";"bar";
"55143.481103";"Intake manifold absolute pressure";"47";"kPa";
"55143.718103";"Short term fuel % trim - Bank 1";"-24.21875";"%";
"55143.945103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55144.183103";"Calculated boost";"-0.53325";"bar";
"55144.183103";"Intake manifold absolute pressure";"48";"kPa";
"55144.407103";"Short term fuel % trim - Bank 1";"-21.09375";"%";
"55144.630103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55144.892103";"Calculated boost";"-0.52325";"bar";
"55144.892103";"Intake manifold absolute pressure";"49";"kPa";
"55145.126103";"Short term fuel % trim - Bank 1";"-18.75";"%";
"55145.366103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55145.614103";"Calculated boost";"-0.52325";"bar";
"55145.614103";"Intake manifold absolute pressure";"49";"kPa";
"55145.851103";"Short term fuel % trim - Bank 1";"-16.40625";"%";
"55146.088103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55146.330103";"Calculated boost";"-0.51325";"bar";
"55146.330103";"Intake manifold absolute pressure";"50";"kPa";
"55146.555103";"Short term fuel % trim - Bank 1";"-18.75";"%";
"55146.803103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55147.049103";"Calculated boost";"-0.52325";"bar";
"55147.049103";"Intake manifold absolute pressure";"49";"kPa";
"55147.283103";"Short term fuel % trim - Bank 1";"-21.09375";"%";
"55147.541103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55147.754103";"Calculated boost";"-0.54325";"bar";
"55147.754103";"Intake manifold absolute pressure";"47";"kPa";
"55148.014103";"Short term fuel % trim - Bank 1";"-17.96875";"%";
"55148.252103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55148.499103";"Calculated boost";"-0.55325";"bar";
"55148.499103";"Intake manifold absolute pressure";"46";"kPa";
"55148.736103";"Short term fuel % trim - Bank 1";"-2.34375";"%";
"55148.967103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55149.210103";"Calculated boost";"-0.53325";"bar";
"55149.210103";"Intake manifold absolute pressure";"48";"kPa";
"55149.444103";"Short term fuel % trim - Bank 1";"-3.125";"%";
"55149.693103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55149.929103";"Calculated boost";"-0.52325";"bar";
"55149.929103";"Intake manifold absolute pressure";"49";"kPa";
"55150.144103";"Short term fuel % trim - Bank 1";"-3.90625";"%";
"55150.379103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55150.622103";"Calculated boost";"-0.55325";"bar";
"55150.622103";"Intake manifold absolute pressure";"46";"kPa";
"55150.845103";"Short term fuel % trim - Bank 1";"-3.125";"%";
"55151.067103";"Long term fuel % trim - Bank 1";"0";"%";
"55151.308103";"Calculated boost";"-0.53325";"bar";
"55151.308103";"Intake manifold absolute pressure";"48";"kPa";
"55151.567103";"Short term fuel % trim - Bank 1";"-2.34375";"%";
"55151.801103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55152.025103";"Calculated boost";"-0.52325";"bar";
"55152.025103";"Intake manifold absolute pressure";"49";"kPa";
"55152.257103";"Short term fuel % trim - Bank 1";"-3.90625";"%";
"55152.506103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55152.753103";"Calculated boost";"-0.54325";"bar";
"55152.753103";"Intake manifold absolute pressure";"47";"kPa";
"55152.980103";"Short term fuel % trim - Bank 1";"-2.34375";"%";
"55153.227103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55153.451103";"Calculated boost";"-0.53325";"bar";
"55153.451103";"Intake manifold absolute pressure";"48";"kPa";
"55153.679103";"Short term fuel % trim - Bank 1";"0";"%";
"55153.904103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55154.125103";"Calculated boost";"-0.49325";"bar";
"55154.125103";"Intake manifold absolute pressure";"52";"kPa";
"55154.368103";"Short term fuel % trim - Bank 1";"0";"%";
"55154.607103";"Long term fuel % trim - Bank 1";"-3.125";"%";
"55154.844103";"Calculated boost";"-0.49325";"bar";
"55154.844103";"Intake manifold absolute pressure";"52";"kPa";
"55155.083103";"Short term fuel % trim - Bank 1";"0";"%";
"55155.336103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55155.575103";"Calculated boost";"-0.50325";"bar";
"55155.575103";"Intake manifold absolute pressure";"51";"kPa";
"55155.801103";"Short term fuel % trim - Bank 1";"0.78125";"%";
"55156.024103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55156.250103";"Calculated boost";"-0.52325";"bar";
"55156.250103";"Intake manifold absolute pressure";"49";"kPa";
"55156.464103";"Short term fuel % trim - Bank 1";"1.5625";"%";
"55156.682103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55156.921103";"Calculated boost";"-0.52325";"bar";
"55156.921103";"Intake manifold absolute pressure";"49";"kPa";
"55157.147103";"Short term fuel % trim - Bank 1";"0.78125";"%";
"55157.366103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55157.591103";"Calculated boost";"-0.52325";"bar";
"55157.591103";"Intake manifold absolute pressure";"49";"kPa";
"55157.821103";"Short term fuel % trim - Bank 1";"0";"%";
"55158.059103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55158.294103";"Calculated boost";"-0.42325";"bar";
"55158.294103";"Intake manifold absolute pressure";"59";"kPa";
"55158.518103";"Short term fuel % trim - Bank 1";"-3.90625";"%";
"55158.737103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55158.997103";"Calculated boost";"-0.42325";"bar";
"55158.997103";"Intake manifold absolute pressure";"59";"kPa";
"55159.218103";"Short term fuel % trim - Bank 1";"0.78125";"%";
"55159.471103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55159.715103";"Calculated boost";"-0.41325";"bar";
"55159.715103";"Intake manifold absolute pressure";"60";"kPa";
"55159.950103";"Short term fuel % trim - Bank 1";"6.25";"%";
"55160.171103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55160.396103";"Calculated boost";"-0.56325";"bar";
"55160.396103";"Intake manifold absolute pressure";"45";"kPa";
"55160.622103";"Short term fuel % trim - Bank 1";"2.34375";"%";
"55160.847103";"Long term fuel % trim - Bank 1";"0";"%";
"55161.092103";"Calculated boost";"-0.57325";"bar";
"55161.092103";"Intake manifold absolute pressure";"44";"kPa";
"55161.324103";"Short term fuel % trim - Bank 1";"0";"%";
"55161.561103";"Long term fuel % trim - Bank 1";"0";"%";
"55161.781103";"Calculated boost";"-0.54325";"bar";
"55161.781103";"Intake manifold absolute pressure";"47";"kPa";
"55162.016103";"Short term fuel % trim - Bank 1";"-3.90625";"%";
"55162.241103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55162.454103";"Calculated boost";"-0.39325";"bar";
"55162.454103";"Intake manifold absolute pressure";"62";"kPa";
"55162.718103";"Short term fuel % trim - Bank 1";"-7.8125";"%";
"55162.951103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55163.193103";"Calculated boost";"-0.40325";"bar";
"55163.193103";"Intake manifold absolute pressure";"61";"kPa";
"55163.432103";"Short term fuel % trim - Bank 1";"-13.28125";"%";
"55163.655103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55163.890103";"Calculated boost";"-0.53325";"bar";
"55163.890103";"Intake manifold absolute pressure";"48";"kPa";
"55164.151103";"Short term fuel % trim - Bank 1";"-17.1875";"%";
"55164.369103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55164.594103";"Calculated boost";"-0.59325";"bar";
"55164.594103";"Intake manifold absolute pressure";"42";"kPa";
"55164.821103";"Short term fuel % trim - Bank 1";"-18.75";"%";
"55165.055103";"Long term fuel % trim - Bank 1";"0";"%";
"55165.272103";"Calculated boost";"-0.58325";"bar";
"55165.272103";"Intake manifold absolute pressure";"43";"kPa";
