TIME;RPM;GAZ;BENZYNA;PODCISNIENIE;CISNIENIE
55327.5;750;2,97;5,29;0,42;0,93
55328.0;760;2,94;5,19;0,42;0,93
55328.5;760;2,92;5,19;0,42;0,92
55329.0;760;2,91;5,15;0,42;0,92
55329.5;750;2,91;5,14;0,42;0,93
55330.0;750;2,94;5,19;0,42;0,93
55330.5;750;2,95;5,21;0,42;0,93
55331.0;760;2,96;5,23;0,42;0,92
55331.5;760;2,91;5,13;0,42;0,93
55332.0;760;2,92;5,16;0,42;0,93
55332.5;760;2,90;5,10;0,42;0,93
55333.0;750;2,96;5,23;0,44;0,93
55333.5;750;2,96;5,24;0,42;0,93
55334.0;750;2,95;5,21;0,42;0,93
55334.5;760;2,93;5,18;0,42;0,93
55335.0;750;2,95;5,22;0,42;0,93
55335.5;740;2,95;5,22;0,44;0,93
55336.0;740;3,59;6,66;0,49;0,92
55336.5;740;3,40;6,19;0,49;0,93
55337.0;750;4,81;8,78;0,63;0,90
55337.5;890;4,19;7,74;0,57;0,92
55338.0;1300;3,41;6,33;0,44;0,90
55338.5;1350;3,37;6,30;0,42;0,90
55339.0;1370;3,39;6,35;0,42;0,90
55339.5;1350;3,19;5,79;0,41;0,92
55340.0;1290;3,11;5,70;0,41;0,90
55340.5;1210;2,75;4,82;0,36;0,92
55341.0;1140;2,85;5,05;0,37;0,92
55341.5;1020;3,39;6,24;0,42;0,92
55342.0;910;3,54;6,50;0,45;0,92
55342.5;880;3,68;6,80;0,49;0,92
55343.0;920;3,28;5,94;0,44;0,93
55343.5;990;3,17;5,70;0,44;0,93
55344.0;970;3,16;5,68;0,44;0,93
55344.5;890;3,26;5,90;0,45;0,92
55345.0;840;3,39;6,18;0,49;0,92
55345.5;800;3,42;6,25;0,47;0,93
55346.0;780;3,49;6,40;0,50;0,92
55346.5;740;3,51;6,43;0,52;0,92
55347.0;720;3,61;6,65;0,52;0,92
55347.5;710;3,61;6,66;0,54;0,92
55348.0;710;3,70;6,84;0,55;0,92
55348.5;710;3,82;7,17;0,57;0,92
55349.0;710;3,80;7,07;0,57;0,92
55349.5;720;3,76;7,05;0,55;0,93
55350.0;730;3,72;6,91;0,55;0,92
55350.5;750;3,48;6,36;0,52;0,92
55351.0;760;3,52;6,50;0,54;0,92
55351.5;740;4,69;8,42;0,68;0,92
55352.0;730;3,65;6,61;0,57;0,95
55352.5;730;3,39;6,18;0,52;0,93
55353.0;730;3,28;5,98;0,50;0,92
55353.5;730;3,25;5,91;0,49;0,93
55354.0;720;3,35;6,15;0,50;0,92
55354.5;730;3,43;6,31;0,50;0,92
55355.0;720;3,83;7,24;0,58;0,89
55355.5;740;4,65;8,14;0,68;0,95
55356.0;830;3,82;7,16;0,58;0,90
55356.5;860;3,49;6,46;0,54;0,92
55357.0;800;3,34;6,12;0,54;0,92
55357.5;760;3,30;6,04;0,50;0,93
55358.0;750;3,24;5,84;0,49;0,93
55358.5;750;3,29;5,96;0,50;0,92
55359.0;750;3,42;6,23;0,50;0,92
55359.5;770;4,52;8,19;0,62;0,90
55360.0;920;4,09;7,61;0,55;0,92
55360.5;1240;3,51;6,49;0,49;0,92
55361.0;1250;3,74;7,13;0,52;0,90
55361.5;1030;6,28;10,54;0,78;0,90
55362.0;910;6,00;10,18;0,78;0,92
55362.5;910;5,23;9,15;0,71;0,90
55363.0;1090;4,42;8,20;0,63;0,90
55363.5;1150;4,13;7,70;0,58;0,90
55364.0;1200;3,57;6,63;0,50;0,92
55364.5;1220;2,82;4,98;0,39;0,92
55365.0;1230;2,76;4,86;0,37;0,90
55365.5;1260;4,04;7,77;0,47;0,89
55366.0;1300;4,81;8,76;0,58;0,90
55366.5;1470;3,93;7,52;0,52;0,90
55367.0;1570;3,06;5,54;0,39;0,90
55367.5;1620;2,93;5,33;0,37;0,90
55368.0;1650;3,09;5,71;0,36;0,90
55368.5;1670;3,26;6,06;0,37;0,89
55369.0;1710;4,25;8,06;0,44;0,87
55369.5;1780;4,57;8,55;0,50;0,87
55370.0;1870;4,53;8,41;0,52;0,89
55370.5;2030;4,55;8,41;0,52;0,89
55371.0;2120;4,74;8,80;0,57;0,87
55371.5;2190;4,57;8,48;0,54;0,87
55372.0;2240;4,31;8,19;0,50;0,87
55372.5;2250;3,83;7,32;0,44;0,90
55373.0;2210;3,25;6,07;0,37;0,89
55373.5;2200;2,97;5,40;0,34;0,90
55374.0;2170;2,41;4,46;0,26;0,89
55374.5;2170;2,40;4,47;0,24;0,90
55375.0;2110;2,44;4,49;0,24;0,90
55375.5;2090;1,43;2,43;0,26;0,95
55376.0;1960;2,31;4,37;0,24;0,89
55376.5;1820;2,23;4,27;0,24;0,93
55377.0;1880;2,79;4,99;0,33;0,90
55377.5;1400;2,94;5,32;0,37;0,92
55378.0;970;3,18;5,71;0,41;0,92
55378.5;880;3,18;5,73;0,42;0,92
55379.0;810;3,18;5,71;0,42;0,93
55379.5;790;3,16;5,67;0,42;0,93
55380.0;780;3,12;5,58;0,44;0,93
55380.5;770;3,07;5,49;0,44;0,93
55381.0;760;3,09;5,52;0,44;0,93
55381.5;740;3,11;5,57;0,45;0,93
55382.0;730;3,50;6,42;0,50;0,92
55382.5;720;3,65;6,70;0,60;0,89
55383.0;770;6,90;10,96;0,84;0,92
55383.5;1060;3,93;7,35;0,55;0,92
55384.0;1330;3,48;6,53;0,45;0,90
55384.5;1360;2,77;4,83;0,36;0,93
55385.0;1190;2,92;5,17;0,41;0,93
55385.5;1030;3,22;5,80;0,44;0,93
55386.0;910;3,36;6,10;0,45;0,93
55386.5;850;3,52;6,45;0,49;0,93
55387.0;820;3,58;6,59;0,50;0,93
55387.5;770;3,55;6,53;0,50;0,93
55388.0;770;3,49;6,36;0,49;0,93
55388.5;760;3,51;6,42;0,50;0,93
55389.0;750;3,37;6,02;0,49;0,93
55389.5;900;9,48;13,97;1,00;0,87
55390.0;2900;8,81;13,31;0,97;0,87
55390.5;2860;9,15;13,46;0,97;0,90
55391.0;2660;6,90;11,09;0,75;0,90
55391.5;2080;9,30;13,64;0,97;0,90
55392.0;2410;8,49;12,80;0,91;0,90
55392.5;2750;9,62;14,30;0,97;0,87
55393.0;3430;10,86;16,42;0,97;0,82
55393.5;3950;10,86;16,45;0,91;0,83
55394.0;4610;10,18;15,69;0,81;0,80
55394.5;5030;10,21;15,82;0,81;0,80
55395.0;5210;5,58;9,12;0,34;1,14
55395.5;810;5,67;10,47;0,47;0,80
55396.0;3570;8,27;12,83;0,76;0,87
55396.5;3730;7,58;12,39;0,70;0,85
55397.0;3840;7,30;11,86;0,68;0,89
55397.5;3950;6,97;11,64;0,65;0,85
55398.0;4100;6,74;11,41;0,63;0,87
55398.5;4190;6,57;11,11;0,60;0,89
55399.0;4200;3,35;5,86;0,26;1,13
55399.5;3250;3,14;5,63;0,29;0,92
55400.0;3110;4,69;8,72;0,45;0,89
55400.5;3110;4,23;8,03;0,42;0,90
55401.0;3110;3,85;7,49;0,39;0,89
55401.5;3100;3,68;7,11;0,37;0,89
55402.0;3090;3,38;6,43;0,36;0,89
55402.5;3090;3,22;6,05;0,36;0,90
55403.0;3070;2,85;5,21;0,29;0,89
55403.5;3030;2,75;4,97;0,29;0,90
55404.0;3000;2,82;5,16;0,29;0,89
55404.5;2970;2,54;4,66;0,26;0,90
55405.0;2960;2,42;4,52;0,24;0,90
55405.5;2920;2,38;4,47;0,24;0,90
55406.0;2900;2,45;4,58;0,24;0,89
55406.5;2870;2,60;4,73;0,24;0,90
55407.0;2850;2,66;4,82;0,24;0,89
55407.5;2810;2,54;4,67;0,23;0,89
55408.0;2780;2,55;4,67;0,23;0,90
55408.5;2750;2,70;4,88;0,24;0,89
55409.0;2730;2,73;4,95;0,26;0,89
55409.5;2700;2,58;4,71;0,24;0,90
55410.0;2680;2,54;4,66;0,26;0,90
55410.5;2670;2,75;4,96;0,26;0,90
55411.0;2650;2,91;5,32;0,26;0,90
55411.5;2620;2,73;4,91;0,26;0,90
55412.0;2610;2,86;5,22;0,26;0,90
55412.5;2590;2,76;4,96;0,26;0,90
55413.0;2580;2,82;5,12;0,26;0,90
55413.5;2560;2,72;4,90;0,26;0,90
55414.0;2540;2,83;5,15;0,26;0,90
55414.5;2530;2,87;5,24;0,28;0,90
55415.0;2520;3,10;5,77;0,29;0,90
55415.5;2520;3,64;7,02;0,34;0,89
55416.0;2510;3,47;6,62;0,36;0,89
55416.5;2510;3,36;6,37;0,33;0,90
55417.0;2510;3,09;5,73;0,29;0,90
55417.5;2500;3,11;5,77;0,29;0,90
55418.0;2490;3,13;5,82;0,31;0,90
55418.5;2480;3,10;5,75;0,31;0,90
55419.0;2470;3,07;5,70;0,31;0,90
55419.5;2460;3,02;5,56;0,31;0,90
55420.0;2460;3,04;5,62;0,31;0,90
55420.5;2450;3,22;6,02;0,31;0,90
55421.0;2440;3,29;6,21;0,33;0,89
55421.5;2440;3,36;6,37;0,34;0,89
55422.0;2440;4,03;7,79;0,42;0,89
55422.5;2450;3,84;7,45;0,42;0,89
55423.0;2460;3,88;7,56;0,42;0,89
55423.5;2470;3,80;7,38;0,41;0,90
55424.0;2480;3,74;7,25;0,39;0,89
55424.5;2490;3,57;6,86;0,37;0,89
55425.0;2490;3,62;6,98;0,37;0,89
55425.5;2500;3,61;6,97;0,37;0,89
55426.0;2500;3,70;7,23;0,37;0,87
55426.5;2510;3,66;7,07;0,37;0,89
55427.0;2490;2,56;4,59;0,24;0,92
55427.5;2480;2,50;4,61;0,23;0,93
55428.0;2440;0,00;0,00;0,24;0,98
55428.5;2480;2,84;5,06;0,23;0,92
55429.0;2360;3,13;5,92;0,28;0,87
55429.5;2350;3,65;7,04;0,36;0,89
55430.0;2350;3,50;6,67;0,34;0,90
55430.5;2340;3,05;5,57;0,31;0,92
55431.0;2320;2,65;4,70;0,26;0,92
55431.5;2320;2,66;4,71;0,26;0,92
55432.0;2280;2,46;4,44;0,24;0,93
55432.5;2270;2,39;4,40;0,23;0,97
55433.0;2230;0,00;0,00;0,24;1,00
55433.5;2180;0,00;0,00;0,26;0,98
55434.0;2130;0,00;0,00;0,26;1,00
55434.5;2220;3,49;6,74;0,33;0,87
55435.0;2080;4,00;7,75;0,39;0,89
55435.5;2070;3,69;7,08;0,39;0,90
55436.0;2070;3,49;6,64;0,36;0,90
55436.5;2070;3,42;6,36;0,37;0,92
55437.0;2080;3,31;6,21;0,37;0,90
55437.5;2080;3,21;5,92;0,37;0,92
55438.0;2090;3,05;5,55;0,36;0,92
55438.5;2090;3,05;5,54;0,34;0,92
55439.0;2060;2,38;4,34;0,24;0,93
55439.5;2060;1,79;3,26;0,24;0,98
55440.0;2020;0,00;0,00;0,24;1,00
55440.5;1940;0,00;0,00;0,24;1,00
55441.0;1890;0,00;0,00;0,24;1,00
55441.5;2060;1,22;2,07;0,24;1,00
55442.0;1950;4,07;7,88;0,42;0,89
55442.5;1900;4,59;8,56;0,49;0,89
55443.0;1900;2,47;4,37;0,28;0,93
55443.5;1890;2,04;3,95;0,23;0,95
55444.0;1850;0,00;0,00;0,24;0,98
55444.5;1800;0,00;0,00;0,24;0,98
55445.0;1750;0,00;0,00;0,24;1,00
55445.5;1670;0,00;0,00;0,24;1,00
55446.0;1620;0,00;0,00;0,24;1,00
55446.5;1540;0,00;0,00;0,26;0,98
55447.0;1500;0,00;0,00;0,28;0,97
55447.5;1750;2,94;5,30;0,34;0,92
55448.0;1150;3,07;5,52;0,37;0,93
55448.5;970;3,21;5,84;0,41;0,93
55449.0;880;3,17;5,63;0,42;0,95
55449.5;840;3,18;5,68;0,44;0,95
55450.0;810;3,21;5,73;0,45;0,95
55450.5;780;2,76;4,67;0,41;0,97
55451.0;770;2,78;4,79;0,39;0,95
55451.5;780;6,87;11,45;0,83;0,92
55452.0;1370;5,25;9,45;0,63;0,90
55452.5;2570;4,89;9,09;0,52;0,87
55453.0;2180;5,70;10,18;0,65;0,87
55453.5;2280;7,40;12,09;0,84;0,87
55454.0;2800;6,97;11,68;0,79;0,87
55454.5;3190;8,01;12,74;0,84;0,85
55455.0;3530;7,16;11,75;0,76;0,87
55455.5;3810;4,26;7,63;0,29;1,14
55456.0;3360;4,54;8,69;0,39;0,83
55456.5;2710;9,24;14,17;0,89;0,82
55457.0;2870;9,99;15,25;0,97;0,85
55457.5;3070;9,70;14,79;0,99;0,83
55458.0;3380;9,70;14,63;0,94;0,85
55458.5;3570;8,72;13,40;0,86;0,85
55459.0;3600;4,24;7,34;0,26;1,32
55459.5;3110;2,75;4,12;0,23;1,17
55460.0;2690;3,05;5,69;0,26;0,89
55460.5;2660;2,86;5,28;0,24;0,89
55461.0;2660;2,61;4,76;0,23;0,89
55461.5;2640;2,51;4,65;0,23;0,89
55462.0;2630;2,50;4,64;0,23;0,97
55462.5;2600;0,00;0,00;0,23;0,98
55463.0;2520;0,00;0,00;0,23;0,98
55463.5;2470;0,00;0,00;0,24;0,98
55464.0;2390;0,00;0,00;0,24;0,98
55464.5;2340;0,00;0,00;0,24;0,98
55465.0;2270;0,00;0,00;0,24;0,98
55465.5;2220;0,00;0,00;0,24;1,00
55466.0;2140;0,00;0,00;0,24;0,98
55466.5;2530;2,69;4,83;0,23;0,90
55467.0;2260;2,91;5,36;0,26;0,89
55467.5;2270;3,18;5,94;0,31;0,90
55468.0;2280;3,46;6,61;0,36;0,89
55468.5;2290;3,41;6,50;0,34;0,89
55469.0;2310;3,16;5,89;0,33;0,90
55469.5;2310;2,71;4,80;0,28;0,92
55470.0;2320;2,44;4,46;0,24;0,92
55470.5;2330;2,38;4,39;0,23;0,92
55471.0;2330;2,38;4,34;0,23;0,93
55471.5;2330;2,73;4,82;0,26;0,92
55472.0;2350;2,79;5,04;0,29;0,92
55472.5;2340;2,75;4,87;0,29;0,92
55473.0;2350;2,89;5,28;0,29;0,90
55473.5;2360;2,86;5,22;0,29;0,92
55474.0;2350;2,52;4,56;0,26;0,92
55474.5;2360;2,40;4,41;0,23;0,92
55475.0;2360;2,36;4,36;0,23;0,92
55475.5;2350;2,37;4,38;0,23;0,92
55476.0;2330;2,36;4,37;0,23;0,92
55476.5;2310;2,37;4,38;0,23;0,92
55477.0;2290;2,41;4,42;0,23;0,92
55477.5;2280;2,80;5,06;0,28;0,92
55478.0;2280;2,98;5,49;0,33;0,90
55478.5;2260;3,02;5,57;0,36;0,90
55479.0;2260;3,34;6,31;0,37;0,90
55479.5;2260;3,41;6,46;0,39;0,90
55480.0;2260;3,79;7,37;0,44;0,89
55480.5;2270;3,78;7,32;0,44;0,89
55481.0;2290;3,79;7,33;0,44;0,90
55481.5;2300;3,76;7,28;0,42;0,90
55482.0;2310;3,74;7,23;0,42;0,90
55482.5;2330;3,44;6,41;0,39;0,92
55483.0;2320;2,68;4,74;0,28;0,92
55483.5;2310;2,64;4,68;0,28;0,92
55484.0;2300;2,58;4,62;0,28;0,92
55484.5;2290;2,55;4,57;0,26;0,93
55485.0;2270;2,61;4,65;0,26;0,92
55485.5;2260;2,55;4,58;0,26;0,93
55486.0;2220;2,32;4,27;0,23;0,93
55486.5;2210;2,33;4,29;0,24;0,98
55487.0;2180;0,00;0,00;0,24;1,00
55487.5;2100;0,00;0,00;0,26;1,00
55488.0;2050;0,00;0,00;0,24;1,00
55488.5;2180;3,11;5,75;0,28;0,89
55489.0;2000;3,79;7,32;0,37;0,90
55489.5;1970;3,95;7,64;0,41;0,90
55490.0;1980;4,61;8,55;0,50;0,90
55490.5;2000;4,70;8,68;0,52;0,90
55491.0;2030;4,73;8,77;0,54;0,89
55491.5;2050;4,48;8,40;0,52;0,90
55492.0;2070;3,02;5,41;0,37;0,93
55492.5;2070;2,49;4,48;0,29;0,92
55493.0;2060;2,42;4,42;0,28;0,92
55493.5;2040;2,26;4,22;0,24;0,93
55494.0;2020;2,30;4,25;0,24;0,93
55494.5;1970;2,36;4,32;0,24;0,93
55495.0;1950;2,42;4,39;0,24;0,93
55495.5;1950;3,44;6,54;0,39;0,89
55496.0;1930;4,02;7,74;0,50;0,89
55496.5;1940;4,25;8,05;0,50;0,90
55497.0;1980;5,29;9,56;0,60;0,89
55497.5;2010;5,37;9,67;0,63;0,89
55498.0;2050;4,96;9,04;0,60;0,90
55498.5;2100;5,25;9,50;0,62;0,89
55499.0;2140;5,47;9,81;0,63;0,89
55499.5;2200;5,29;9,56;0,62;0,89
55500.0;2240;5,01;9,16;0,58;0,89
55500.5;2270;4,73;8,76;0,54;0,90
55501.0;2280;3,12;5,70;0,36;0,92
55501.5;2270;2,32;4,31;0,23;0,92
55502.0;2250;2,30;4,30;0,23;0,98
55502.5;2210;0,00;0,00;0,24;0,98
55503.0;2160;0,00;0,00;0,23;0,98
55503.5;2080;0,00;0,00;0,24;0,98
55504.0;2030;0,00;0,00;0,24;0,98
55504.5;1950;0,00;0,00;0,24;0,98
55505.0;2020;2,77;5,01;0,33;0,90
55505.5;1390;2,95;5,29;0,37;0,92
55506.0;970;3,33;6,11;0,42;0,93
55506.5;910;3,24;5,83;0,44;0,93
55507.0;850;3,19;5,69;0,45;0,95
55507.5;830;3,14;5,58;0,45;0,95
55508.0;810;3,12;5,54;0,45;0,95
55508.5;790;3,05;5,39;0,45;0,95
55509.0;770;3,07;5,43;0,45;0,95
55509.5;760;3,28;5,87;0,49;0,95
55510.0;750;3,29;5,90;0,50;0,95
55510.5;750;3,36;6,04;0,50;0,95
55511.0;760;3,75;6,91;0,60;0,89
55511.5;880;5,24;9,18;0,66;0,93
55512.0;1680;3,95;7,49;0,47;0,90
55512.5;1850;6,14;10,65;0,71;0,89
55513.0;2110;9,25;13,62;0,99;0,90
55513.5;2600;9,53;14,36;0,99;0,85
55514.0;2620;9,74;14,43;1,02;0,89
55514.5;2620;11,78;17,73;1,02;0,83
55515.0;3100;12,14;18,46;1,00;0,82
55515.5;3940;13,19;20,67;1,00;0,77
55516.0;4570;14,27;23,81;1,00;0,67
55516.5;5130;13,77;23,17;1,00;0,70
55517.0;5630;7,50;11,56;0,24;1,46
55517.5;4400;5,35;8,50;0,50;0,87
55518.0;4050;12,61;19,58;1,00;0,79
55518.5;3980;12,32;18,83;1,00;0,82
55519.0;4190;12,10;18,97;1,00;0,79
55519.5;4510;12,14;19,34;0,99;0,77
55520.0;4720;12,47;19,69;0,99;0,77
55520.5;4640;3,73;5,97;0,34;1,20
55521.0;3920;4,02;7,40;0,36;0,92
55521.5;3560;5,05;9,39;0,50;0,87
55522.0;3520;3,68;7,18;0,39;0,87
55522.5;3480;2,76;5,04;0,31;0,90
55523.0;3440;2,52;4,70;0,23;
55523.5;3410;3,01;5,63;0,34;0,89
55524.0;3310;2,83;5,19;0,33;0,90
55524.5;3260;3,07;5,78;0,34;0,89
55525.0;3220;3,24;6,17;0,36;0,89
55525.5;3200;3,98;7,85;0,65;0,87
55526.0;3220;6,23;11,05;0,73;0,87
55526.5;3240;6,36;11,04;0,73;0,87
55527.0;3280;5,94;10,53;0,70;0,89
55527.5;3320;5,77;10,34;0,66;0,89
55528.0;3260;2,09;3,98;0,26;0,95
55528.5;1870;2,41;4,45;0,21;0,92
55529.0;3090;4,22;8,32;0,42;0,85
55529.5;3230;4,96;9,18;0,52;0,89
55530.0;3240;5,09;9,43;0,55;0,87
55530.5;3290;6,36;11,15;0,68;0,87
55531.0;3330;6,02;10,65;0,68;0,89
55531.5;3370;5,70;10,23;0,66;0,89
55532.0;3430;5,85;10,41;0,70;0,90
55532.5;3470;5,70;10,26;0,65;0,87
55533.0;3520;5,06;9,28;0,58;0,89
55533.5;3570;5,02;9,28;0,58;0,87
55534.0;3590;4,89;9,04;0,57;0,90
55534.5;3640;5,06;9,31;0,57;0,89
55535.0;3660;5,00;9,20;0,57;0,89
55535.5;3650;2,67;4,74;0,31;0,93
55536.0;3650;2,41;4,55;0,26;0,90
55536.5;3630;2,50;4,66;0,26;0,90
55537.0;3580;2,33;4,42;0,26;0,92
55537.5;3560;2,30;4,42;0,21;0,90
55538.0;3510;2,21;4,31;0,21;0,90
55538.5;3510;0,55;1,08;0,23;0,98
55539.0;3460;0,00;0,00;0,21;1,01
55539.5;3380;0,00;0,00;0,21;1,01
55540.0;3330;0,00;0,00;0,21;1,01
55540.5;3250;0,00;0,00;0,21;1,01
55541.0;3200;0,00;0,00;0,21;1,01
55541.5;3150;0,00;0,00;0,21;1,01
55542.0;3100;2,65;4,87;0,21;0,89
55542.5;3060;2,48;4,65;0,23;0,90
55543.0;3010;2,54;4,71;0,23;0,90
55543.5;2980;2,52;4,69;0,24;0,90
55544.0;2940;2,44;4,53;0,21;0,92
55544.5;2920;0,00;0,00;0,20;1,00
55545.0;2870;0,00;0,00;0,20;1,00
55545.5;2800;0,00;0,00;0,20;1,00
55546.0;2750;0,00;0,00;0,21;1,00
55546.5;2670;0,00;0,00;0,23;0,98
55547.0;2620;0,00;0,00;0,24;0,98
55547.5;2920;2,47;4,36;0,28;0,93
55548.0;1470;2,73;4,83;0,34;0,93
55548.5;1030;3,00;5,43;0,39;0,93
55549.0;900;3,17;5,75;0,42;0,93
55549.5;850;3,14;5,63;0,44;0,95
55550.0;800;3,19;5,75;0,45;0,95
55550.5;760;6,41;10,38;0,97;0,92
55551.0;1560;9,22;13,95;1,00;0,89
55551.5;2030;11,96;17,79;1,02;0,89
55552.0;1790;12,25;18,31;1,02;0,87
55552.5;1950;11,76;17,73;1,02;0,89
55553.0;2210;11,76;17,73;1,02;0,87
55553.5;2400;11,96;18,11;1,00;0,85
55554.0;2680;11,67;17,68;1,00;0,85
55554.5;2870;11,65;17,73;1,00;0,85
55555.0;3140;11,89;18,23;1,00;0,85
55555.5;3320;12,24;18,99;1,02;0,80
55556.0;3510;12,55;19,13;1,02;0,82
55556.5;3800;13,14;20,51;1,00;0,79
55557.0;3990;13,11;20,23;1,00;0,79
55557.5;4310;1;20,48;1,00;0,79
55558.0;4490;13,06;20,40;1,00;0,79
55558.5;4700;13,48;21,37;1,00;0,77
55559.0;5030;13,82;22,72;1,00;0,71
55559.5;4970;3,02;4,58;0,26;1,26
55560.0;4210;3,70;6,60;0,31;0,95
55560.5;3800;4,38;8,46;0,42;0,87
55561.0;3790;3,49;6,74;0,34;0,89
55561.5;3790;2,70;4,90;0,28;0,90
55562.0;3800;2,67;4,89;0,28;0,89
55562.5;3830;2,91;5,41;0,28;0,89
55563.0;3820;2,84;5,24;0,29;0,89
55563.5;3840;2,95;5,56;0,29;0,87
55564.0;3810;2,90;5,39;0,31;0,89
55564.5;3810;3,46;6,76;0,34;0,85
55565.0;3920;11,77;18,38;0,99;0,80
55565.5;3920;13,24;20,54;1,00;0,80
55566.0;4010;13,25;20,81;1,02;0,79
55566.5;4130;13,04;20,37;1,02;0,79
55567.0;4210;12,95;20,24;1,00;0,79
55567.5;4340;13,19;20,59;1,00;0,79
55568.0;4420;13,30;20,74;1,00;0,79
55568.5;4280;2,44;3,75;0,21;1,24
55569.0;4360;0,00;0,00;0,21;1,27
55569.5;4310;0,00;0,00;0,20;1,32
55570.0;4230;0,00;0,00;0,21;1,33
55570.5;4180;0,00;0,00;0,21;1,35
55571.0;4120;0,00;0,00;0,21;1,35
55571.5;4050;0,00;0,00;0,23;1,35
55572.0;4000;0,00;0,00;0,23;1,35
55572.5;3920;0,00;0,00;0,23;1,36
55573.0;3870;0,00;0,00;0,21;1,38
55573.5;3240;4,52;8,81;0,44;0,82
55574.0;3220;8,88;13,98;0,84;0,83
55574.5;3230;10,42;15,96;0,97;0,83
55575.0;3260;6,72;10,73;0,73;0,98
55575.5;3320;5,56;10,15;0,60;0,87
55576.0;3370;8,53;13,37;0,91;0,85
55576.5;3390;6,36;10,65;0,75;0,93
55577.0;3420;3,92;7,60;0,45;0,92
55577.5;3390;2,35;4,28;0,28;0,95
55578.0;930;2,73;4,93;0,23;0,90
55578.5;1750;5,49;10,03;0,50;0,89
55579.0;2590;5,11;9,43;0,49;0,90
55579.5;2580;4,70;8,78;0,47;0,90
55580.0;2570;3,82;7,47;0,37;0,90
55580.5;2560;2,93;5,32;0,29;0,92
55581.0;2550;2,89;5,34;0,28;0,90
55581.5;2530;2,58;4,74;0,26;0,90
55582.0;2530;2,74;5,00;0,28;0,90
55582.5;2520;2,88;5,31;0,28;0,90
55583.0;2500;2,94;5,46;0,29;0,90
55583.5;2500;3,23;6,10;0,33;0,90
55584.0;2480;3,16;5,97;0,33;0,90
55584.5;2480;3,23;6,11;0,33;0,90
55585.0;2470;3,19;6,02;0,33;0,90
55585.5;2450;3,11;5,84;0,31;0,90
55586.0;2440;3,03;5,67;0,31;0,90
55586.5;2420;3,05;5,71;0,31;0,90
55587.0;2410;3,18;6,00;0,33;0,90
55587.5;2400;3,04;5,67;0,33;0,90
55588.0;2380;3,18;6,00;0,33;0,90
55588.5;2370;3,02;5,63;0,33;0,92
55589.0;2360;3,22;6,08;0,33;0,90
55589.5;2350;3,05;5,66;0,34;0,90
55590.0;2350;3,21;6,06;0,34;0,90
55590.5;2340;3,13;5,87;0,34;0,90
55591.0;2330;3,27;6,21;0,36;0,90
55591.5;2340;4,02;7,86;0,45;0,89
55592.0;2340;3,86;7,56;0,45;0,90
55592.5;2350;4,04;7,89;0,45;0,90
55593.0;2360;3,87;7,60;0,44;0,89
55593.5;2370;3,79;7,43;0,44;0,90
55594.0;2390;3,77;7,34;0,42;0,90
55594.5;2400;3,54;6,83;0,42;0,90
55595.0;2400;3,66;7,12;0,42;0,90
55595.5;2410;3,57;6,89;0,42;0,90
55596.0;2420;3,67;7,11;0,41;0,90
55596.5;2430;3,47;6,65;0,39;0,90
55597.0;2430;3,19;6,02;0,37;0,90
