Time,STFT,LTFT,Podcisnienie,Podcisnienie Diego,RPM,Benzyna,Gaz,Cisnienie
55158.294103,-3.90625,-2.34375,59.0,,1290.0,5.91,0.00,...
55158.997103,0.78125,-2.34375,59.0,,1280.0,6.24,0.00,1.43
55159.715103,6.25,-2.34375,60.0,,1290.0,6.22,0.00,1.39
55160.396103,2.34375,0.0,45.0,,1090.0,3.91,1.19,1.35
55161.092103,0.0,0.0,44.0,,1040.0,3.98,2.58,1.26
55161.781103,-3.90625,-2.34375,47.0,,970.0,7.14,5.99,1.13
55162.454103,-7.8125,-2.34375,62.0,,1090.0,6.33,5.59,1.16
55163.193103,-13.28125,-2.34375,61.0,,1330.0,5.06,6.43,1.13
55163.890103,-17.1875,-2.34375,48.0,,1280.0,3.03,4.17,1.13
55164.594103,-18.75,0.0,42.0,,1120.0,3.24,4.29,1.13
55165.272103,-21.875,-3.125,43.0,,1180.0,6.36,7.27,1.23
55166.014103,-24.21875,-2.34375,78.0,,1650.0,4.54,6.02,1.08
55166.763103,-20.3125,-2.34375,60.0,,1580.0,2.72,3.59,1.23
55167.503103,-17.1875,0.0,38.0,,1350.0,3.06,4.25,1.11
55168.214103,-17.1875,0.0,42.0,,1130.0,3.34,4.46,1.13
55168.902103,-17.96875,0.0,44.0,,1070.0,3.31,4.41,1.13
55169.591103,-18.75,0.0,45.0,,1000.0,3.30,4.40,1.13
55170.285103,-20.3125,-3.125,46.0,,1000.0,5.18,6.80,1.14
55170.966103,-22.65625,-2.34375,67.0,,1210.0,4.53,6.46,1.11
55171.657103,-24.21875,-2.34375,57.0,,1330.0,4.50,5.99,1.11
55172.380103,-18.75,-2.34375,57.0,,1310.0,4.83,6.29,1.11
55173.081103,-14.84375,0.0,57.0,,1240.0,2.90,3.99,1.17
55173.778103,-14.0625,0.0,42.0,,1080.0,3.99,5.50,1.10
55174.489103,-17.1875,-2.34375,47.0,,1090.0,3.94,5.35,1.13
55175.154103,-20.3125,-2.34375,50.0,,1090.0,3.41,4.58,1.14
55175.819103,-21.875,-2.34375,46.0,,1010.0,3.72,5.18,1.11
55176.489103,-17.96875,-2.34375,48.0,,1070.0,4.19,6.01,1.11
55177.242103,-21.875,-2.34375,51.0,,1130.0,3.47,4.70,1.13
55177.901103,-21.09375,-2.34375,51.0,,930.0,3.04,3.88,1.16
55178.582103,-21.09375,-2.34375,46.0,,930.0,3.55,4.87,1.11
55179.272103,-17.1875,-2.34375,60.0,,840.0,3.59,4.79,1.17
55179.969103,-21.09375,-2.34375,57.0,,890.0,3.36,4.48,1.13
55180.657103,-21.875,-3.90625,50.0,,840.0,5.74,7.07,1.13
55181.327103,-21.875,-3.125,68.0,,870.0,3.49,4.65,1.16
55182.005103,-22.65625,-2.34375,53.0,,950.0,3.71,5.12,1.13
55182.673103,-21.875,-2.34375,55.0,,900.0,3.96,5.55,1.11
55183.401103,-22.65625,0.0,51.0,,970.0,3.29,4.38,1.13
55184.091103,-21.09375,-2.34375,48.0,,950.0,3.47,4.70,1.11
55184.844103,-20.3125,-2.34375,52.0,,920.0,3.95,5.53,1.13
55185.560103,-21.875,-3.125,55.0,,910.0,3.96,5.56,1.13
55186.265103,-24.21875,-2.34375,55.0,,840.0,3.49,4.68,1.14
55186.931103,-21.875,-2.34375,53.0,,870.0,3.42,4.61,1.13
55187.657103,-21.875,-2.34375,50.0,,940.0,3.45,4.65,1.13
55188.345103,-21.09375,-2.34375,49.0,,940.0,3.43,4.62,1.13
55189.084103,-20.3125,-2.34375,49.0,,950.0,4.02,5.73,1.10
55189.761103,-20.3125,-2.34375,52.0,,1180.0,4.05,5.76,1.11
55190.427103,-18.75,-2.34375,52.0,,1090.0,4.34,6.28,1.
55191.139103,-21.875,-2.34375,57.0,,1030.0,3.25,4.26,1.17
55191.820103,-21.875,0.0,44.0,,1020.0,3.12,4.09,1.13
55192.558103,-21.09375,-2.34375,45.0,,970.0,3.63,5.02,1.11
55193.262103,-18.75,0.0,51.0,,1140.0,2.84,3.59,1.13
55193.995103,-21.09375,0.0,41.0,,1080.0,3.15,4.15,1.11
55194.689103,-18.75,-2.34375,54.0,,1040.0,4.33,6.21,1.13
55195.382103,-21.875,-3.125,46.0,,990.0,4.66,6.91,1.13
55196.102103,-22.65625,-2.34375,54.0,,930.0,3.44,4.64,1.13
55196.827103,-21.875,-2.34375,50.0,,950.0,3.59,4.91,1.13
55197.515103,-21.09375,-2.34375,51.0,,940.0,3.68,5.06,1.13
55198.247103,-17.96875,-2.34375,50.0,,990.0,3.53,4.80,1.13
55198.931103,-16.40625,0.0,48.0,,970.0,3.11,4.00,1.11
55199.614103,-13.28125,-2.34375,44.0,,930.0,4.78,6.87,1.08
55200.305103,-14.84375,-2.34375,56.0,,990.0,3.48,4.72,1.11
55200.982103,-17.1875,-3.125,48.0,,790.0,10.01,9.38,1.23
55201.646103,-14.84375,0.0,88.0,,800.0,3.15,3.78,1.39
55202.367103,-13.28125,-2.34375,49.0,,1010.0,4.26,6.13,1.11
55203.059103,-14.0625,0.0,52.0,,1180.0,3.26,4.34,1.13
55203.742103,-13.28125,0.0,41.0,,1120.0,3.01,3.91,1.11
55204.433103,-10.15625,0.0,42.0,,1000.0,3.54,4.87,1.11
55205.154103,-10.9375,-2.34375,46.0,,970.0,4.18,6.01,1.08
55205.894103,-14.0625,-2.34375,52.0,,980.0,3.29,4.37,1.13
55206.601103,-17.1875,0.0,46.0,,960.0,3.11,4.07,1.11
55207.385103,-14.84375,0.0,47.0,,910.0,3.62,5.00,1.11
55208.057103,-14.0625,0.0,49.0,,910.0,3.78,5.29,1.11
55208.750103,-14.84375,-2.34375,50.0,,870.0,4.11,5.84,1.11
55209.468103,-16.40625,-2.34375,55.0,,890.0,3.90,5.50,1.11
55210.409103,-17.1875,-3.90625,54.0,,840.0,6.49,7.74,1.10
55211.151103,-18.75,0.0,69.0,,810.0,3.18,4.08,1.17
55211.860103,-20.3125,-2.34375,49.0,,860.0,5.73,7.14,1.10
55212.585103,-17.96875,0.0,65.0,,930.0,3.15,3.99,1.23
55213.415103,-17.1875,0.0,39.0,,1080.0,3.28,4.39,1.10
55214.116103,-17.1875,0.0,45.0,,1000.0,3.58,4.94,1.11
55214.814103,-16.40625,0.0,48.0,,940.0,3.59,4.94,1.11
55215.504103,-16.40625,0.0,49.0,,910.0,3.59,4.93,1.11
55216.289103,-14.84375,-3.90625,50.0,,960.0,10.59,10.10,1.08
55217.003103,-16.40625,-3.90625,91.0,,2030.0,4.38,5.98,1.07
55217.759103,-10.15625,-3.125,52.0,,1870.0,5.96,7.31,1.08
55218.454103,-3.90625,-2.34375,61.0,,1860.0,6.18,7.48,1.08
55219.232103,-3.90625,-2.34375,64.0,,1640.0,6.53,7.68,1.13
55219.953103,-6.25,-2.34375,60.0,,1610.0,4.29,5.90,1.11
55220.763103,-2.34375,-2.34375,46.0,,1760.0,3.60,5.04,1.10
55221.481103,-9.375,-2.34375,39.0,,1810.0,3.49,4.88,1.10
55222.230103,-7.03125,0.0,39.0,,1890.0,3.46,4.94,1.10
55223.686103,-6.25,0.0,25.0,,1860.0,0.00,0.00,1.23
55224.492103,0.0,0.0,25.0,,1480.0,3.74,5.31,1.08
55225.337103,0.0,0.0,40.0,,1410.0,2.56,3.54,1.10
55226.071103,-3.125,0.0,28.0,,1340.0,2.47,3.57,1.10
55226.811103,-6.25,0.0,29.0,,1110.0,2.74,3.38,1.11
55227.566103,-9.375,0.0,34.0,,1010.0,2.98,3.88,1.11
55228.378103,-9.375,-2.34375,42.0,,790.0,5.03,7.28,1.10
55229.097103,-10.15625,-3.125,60.0,,740.0,5.44,6.86,1.13
55230.026103,-14.0625,-3.125,68.0,,850.0,5.31,6.76,1.11
55230.802103,-17.96875,-2.34375,57.0,,1120.0,3.97,5.63,1.10
55231.639103,-17.1875,-3.125,54.0,,1040.0,4.06,5.78,1.10
55232.342103,-16.40625,-3.125,57.0,,1000.0,4.38,6.37,1.10
55233.141103,-17.96875,-3.125,59.0,,980.0,4.20,6.03,1.10
55234.043103,-17.96875,-2.34375,59.0,,1190.0,3.50,4.74,1.14
55234.812103,-17.1875,-2.34375,44.0,,1190.0,4.16,5.91,1.10
55235.609103,-14.84375,-2.34375,52.0,,1180.0,4.22,6.09,1.10
55236.374103,-17.96875,-2.34375,66.0,,910.0,6.36,7.47,1.14
55237.272103,-17.1875,-2.34375,74.0,,1090.0,3.72,5.16,1.11
55238.103103,-18.75,-2.34375,52.0,,1230.0,3.58,5.02,1.10
55238.918103,-14.84375,-2.34375,46.0,,1460.0,3.40,4.75,1.10
55239.841103,-10.15625,0.0,35.0,,1450.0,2.42,3.53,1.10
55240.613103,-9.375,2.34375,29.0,,1300.0,2.44,3.55,1.10
55241.462103,-10.15625,0.78125,33.0,,1000.0,2.91,3.75,1.10
55242.174103,-10.15625,0.0,38.0,,950.0,2.98,3.86,1.10
55242.948103,-7.03125,0.0,41.0,,880.0,3.34,4.53,1.10
55243.870103,-11.71875,0.0,44.0,,850.0,3.37,4.56,1.11
55244.594103,-11.71875,0.0,46.0,,850.0,3.30,4.43,1.11
55245.335103,-10.9375,0.0,45.0,,880.0,3.57,5.09,1.11
55246.044103,-10.15625,0.0,49.0,,890.0,3.73,5.20,1.10
55246.746103,-14.0625,-2.34375,52.0,,990.0,4.54,6.70,1.10
55247.462103,-13.28125,-3.125,47.0,,1650.0,6.33,7.49,1.13
55248.146103,-10.15625,-2.34375,66.0,,1860.0,5.76,7.23,1.08
55248.840103,-5.46875,-2.34375,65.0,,1440.0,7.28,8.28,1.10
55249.517103,-3.90625,-2.34375,76.0,,1470.0,6.71,8.02,1.07
55250.180103,0.0,-5.46875,71.0,,1900.0,8.52,9.07,1.07
55250.836103,3.90625,-5.46875,85.0,,2740.0,7.81,8.99,1.05
55251.561103,1.5625,-6.25,72.0,,3070.0,7.30,8.54,1.05
55252.233103,0.0,0.0,44.0,,3170.0,3.92,5.22,1.62
55252.913103,1.5625,-5.46875,48.0,,2230.0,7.08,8.28,1.07
55253.624103,0.0,-5.46875,69.0,,2320.0,6.65,8.01,1.05
55254.293103,0.0,-3.90625,62.0,,2540.0,5.34,6.89,1.07
55254.976103,2.34375,-3.90625,52.0,,2610.0,4.99,6.57,1.05
55255.676103,1.5625,-3.90625,48.0,,2660.0,4.94,6.51,1.05
55256.367103,2.34375,-5.46875,48.0,,2810.0,6.61,8.04,1.05
55257.041103,-2.34375,-5.46875,64.0,,2940.0,6.59,8.07,1.03
55257.764103,-6.25,-5.46875,66.0,,3120.0,4.36,5.77,1.17
55258.427103,0.0,0.78125,53.0,,2870.0,5.23,6.10,1.30
55259.098103,1.5625,-5.46875,47.0,,2360.0,7.39,8.63,1.03
55259.779103,0.0,-5.46875,65.0,,2440.0,6.33,7.80,1.05
55260.493103,2.34375,-3.90625,63.0,,2490.0,6.35,7.82,1.05
55261.226103,5.46875,-3.90625,58.0,,2540.0,6.09,7.64,1.05
55261.916103,3.90625,-3.90625,56.0,,2620.0,5.71,7.32,1.05
55262.673103,-3.125,-3.90625,55.0,,2650.0,5.34,6.92,1.05
55263.381103,0.0,-3.90625,54.0,,2710.0,5.29,6.95,1.03
55264.063103,2.34375,-3.90625,51.0,,2730.0,5.11,6.77,1.05
55264.756103,1.5625,-3.125,49.0,,2770.0,4.55,6.25,1.05
55265.439103,0.78125,-3.125,46.0,,2790.0,4.50,6.21,1.05
55266.105103,0.0,-2.34375,41.0,,2800.0,3.93,5.68,1.05
55266.771103,-7.03125,-2.34375,39.0,,2790.0,3.63,5.19,1.05
55268.147103,0.78125,-3.90625,26.0,,510.0,5.53,7.24,1.03
55268.847103,0.0,-3.90625,55.0,,2140.0,4.33,5.94,1.08
55269.535103,0.0,-2.34375,46.0,,2150.0,3.65,5.18,1.07
55270.207103,0.0,0.0,39.0,,2140.0,3.34,4.76,1.07
55270.899103,-7.8125,0.0,37.0,,2130.0,2.98,4.22,1.07
55271.609103,-10.15625,0.0,36.0,,2120.0,2.97,4.19,1.07
55272.298103,-7.8125,0.0,35.0,,2100.0,2.84,4.00,1.08
55272.970103,-9.375,0.0,34.0,,2090.0,2.89,4.10,1.08
55273.670103,-10.15625,0.0,33.0,,2070.0,2.75,3.98,1.07
55274.338103,-7.8125,0.0,32.0,,2040.0,2.77,3.92,1.07
55275.037103,-11.71875,0.0,33.0,,2030.0,2.75,3.99,1.07
55275.759103,-7.8125,0.78125,29.0,,2000.0,2.57,3.71,1.07
55276.441103,-14.84375,0.0,30.0,,1990.0,2.50,3.65,1.07
55277.110103,-18.75,0.0,30.0,,1970.0,2.51,3.67,1.07
55277.800103,-14.0625,0.0,31.0,,1970.0,2.80,3.96,1.05
55278.475103,-9.375,0.0,37.0,,1950.0,3.28,4.67,1.07
55279.149103,-6.25,-2.34375,37.0,,1940.0,3.36,4.78,1.07
55279.853103,-7.03125,-2.34375,38.0,,1940.0,3.55,5.10,1.05
55280.551103,-6.25,-3.125,40.0,,1940.0,4.47,6.12,1.05
55281.250103,-3.90625,-3.90625,54.0,,1950.0,4.94,6.53,1.05
55281.961103,2.34375,-3.90625,54.0,,1970.0,4.76,6.38,1.05
55282.637103,-7.03125,-3.90625,53.0,,1990.0,4.51,6.16,1.07
55283.382103,-6.25,-3.125,52.0,,2000.0,4.20,5.85,1.05
55284.091103,-7.03125,-3.125,50.0,,2010.0,4.19,5.85,1.05
55284.753103,-9.375,-2.34375,46.0,,2020.0,3.47,4.95,1.07
55285.461103,-9.375,-2.34375,42.0,,2020.0,3.52,5.23,1.05
55286.139103,-10.9375,-2.34375,42.0,,2020.0,3.47,4.97,1.05
55286.834103,-7.03125,-2.34375,42.0,,2020.0,3.53,5.04,1.05
55287.532103,-10.9375,-2.34375,42.0,,2020.0,3.55,5.06,1.07
55288.253103,-7.8125,-2.34375,39.0,,2010.0,3.44,4.90,1.07
55288.917103,-9.375,-2.34375,41.0,,2010.0,3.58,5.11,1.07
55289.614103,-10.15625,-2.34375,40.0,,2010.0,3.39,4.93,1.05
55290.325103,-7.8125,-2.34375,41.0,,2000.0,3.35,4.77,1.07
55291.025103,-7.8125,-2.34375,40.0,,2000.0,3.47,4.96,1.05
55291.691103,-9.375,-2.34375,40.0,,2000.0,3.36,4.79,1.05
55292.390103,-6.25,2.34375,40.0,,1960.0,2.18,3.35,1.08
55302.076103,0.0,0.0,27.0,,1920.0,2.83,3.97,1.08
55302.799103,0.0,0.0,27.0,,1320.0,2.53,3.69,1.07
55303.478103,0.0,2.34375,27.0,,1140.0,2.89,3..0,1.07
55304.169103,0.0,1.5625,35.0,,990.0,3.04,4.04,1.08
55304.861103,0.0,0.78125,38.0,,870.0,3.16,4.21,1.10
55305.572103,-3.90625,0.0,40.0,,850.0,3.11,4.12,1.10
55306.274103,-6.25,0.78125,40.0,,790.0,2.95,3.84,1.10
55306.958103,-7.8125,0.78125,40.0,,760.0,2.90,3.74,1.10
55307.673103,-7.8125,0.78125,40.0,,760.0,2.95,3.93,1.10
55308.333103,-7.03125,0.78125,40.0,,760.0,3.06,4.02,1.10
55309.032103,-6.25,0.78125,41.0,,760.0,3.06,4.03,1.10
55309.708103,-7.03125,0.0,41.0,,770.0,3.12,4.16,1.08
55310.377103,-7.8125,0.0,45.0,,780.0,3.36,1.,1.10
55311.062103,-9.375,0.0,46.0,,780.0,3.39,4.61,1.10
55311.731103,-9.375,0.0,46.0,,780.0,3.37,4.58,1.10
55312.402103,-10.15625,0.0,47.0,,770.0,3.37,4.59,1.10
55313.082103,-10.9375,0.0,47.0,,770.0,3.30,4.46,1.08
55313.786103,-9.375,0.0,46.0,,780.0,3.38,4.50,1.08
55314.467103,-7.8125,0.0,47.0,,780.0,3.31,4.48,1.10
55315.160103,-10.15625,0.0,46.0,,780.0,3.32,4.51,1.10
55315.879103,-6.25,-2.34375,62.0,,910.0,5.81,7.49,1.01
55316.587103,-11.71875,-2.34375,69.0,,1430.0,7.10,8.44,1.03
55317.291103,-5.46875,-2.34375,75.0,,1340.0,6.96,8.31,1.05
55317.985103,0.0,-2.34375,77.0,,1640.0,6.22,7.74,1.03
55318.689103,3.90625,-3.90625,63.0,,1910.0,5.58,7.33,1.03
55319.396103,-3.90625,0.0,47.0,,2250.0,4.10,5.98,1.00
55320.105103,0.0,-3.90625,46.0,,2350.0,5.70,7.43,1.01
55320.809103,8.59375,-3.90625,59.0,,2850.0,5.28,6.99,1.03
55321.509103,0.0,0.78125,55.0,,2940.0,3.55,4.88,1.33
55322.185103,2.34375,-6.25,43.0,,2100.0,11.19,10.85,1.03
55322.884103,0.0,-5.46875,74.0,,2300.0,5.78,7.43,1.03
55323.618103,0.0,-3.125,59.0,,2390.0,4.59,6.29,1.05
55324.297103,0.0,-2.34375,39.0,,2530.0,6.16,7.88,1.00
55324.950103,3.90625,-3.90625,53.0,,2590.0,6.16,7.84,1.01
55325.639103,2.34375,-3.90625,57.0,,2730.0,5.72,7.47,1.01
55327.045103,0.78125,-2.34375,26.0,,2070.0,4.05,5.85,1.01
55327.747103,0.0,-2.34375,42.0,,2070.0,3.98,5.72,1.05
55328.489103,0.0,-3.125,40.0,,2100.0,4.10,5.91,1.03
55329.186103,0.0,-3.125,46.0,,2120.0,4.02,5.85,1.01
55329.893103,-7.8125,-2.34375,45.0,,2180.0,3.77,5.47,1.03
55330.588103,0.0,-2.34375,43.0,,2210.0,3.71,5.42,1.01
55331.261103,-2.34375,-2.34375,43.0,,2250.0,3.71,5.37,1.05
55331.940103,-5.46875,-2.34375,42.0,,2280.0,3.70,5.35,1.05
55332.658103,3.90625,-2.34375,40.0,,2300.0,3.71,5.40,1.03
55333.373103,0.78125,-2.34375,40.0,,2340.0,3.59,5.21,1.05
55334.077103,0.0,-2.34375,39.0,,2350.0,3.60,5.24,1.05
55334.786103,-3.90625,0.0,37.0,,2400.0,3.57,5.19,1.03
55335.492103,0.0,0.0,37.0,,2410.0,3.32,4.91,1.05
55336.189103,1.5625,0.78125,36.0,,2420.0,3.17,4.57,1.05
55336.863103,0.0,4.6875,22.0,,2410.0,2.15,3.41,1.10
55344.508103,0.78125,-3.125,22.0,,2330.0,9.26,9.63,1.03
55345.225103,0.0,-3.125,81.0,,1760.0,8.92,9.41,1.03
55345.933103,0.0,-3.125,65.0,,1960.0,4.38,6.09,1.03
55346.609103,0.0,-3.125,47.0,,2010.0,4.20,5.97,1.03
55347.338103,-5.46875,0.78125,38.0,,2060.0,2.63,3.90,1.05
55348.035103,-10.15625,0.78125,30.0,,2060.0,2.47,3.58,1.05
55348.745103,-14.84375,0.78125,29.0,,2060.0,2.43,3.56,1.05
55349.466103,-16.40625,-3.125,33.0,,2060.0,3.82,5.56,1.03
55350.150103,-10.9375,-3.90625,50.0,,2080.0,4.47,6.29,1.01
55350.917103,-3.125,-3.90625,59.0,,2150.0,5.01,6.72,1.03
55351.605103,4.6875,-3.125,55.0,,2200.0,4.61,6.34,1.03
55352.283103,0.78125,-3.125,51.0,,2250.0,4.56,6.38,1.01
55352.948103,-2.34375,-3.125,50.0,,2280.0,4.53,6.28,1.03
55353.639103,0.0,-3.125,48.0,,2300.0,4.18,6.02,1.03
55354.331103,0.0,-3.125,46.0,,2360.0,4.11,5.97,1.03
55355.021103,-6.25,-3.125,45.0,,2380.0,4.09,5.99,1.03
55355.760103,-2.34375,-3.125,43.0,,2420.0,4.29,6.20,1.01
55356.436103,3.90625,-3.125,45.0,,2440.0,4.11,5.96,1.03
55357.141103,2.34375,-3.125,43.0,,2460.0,4.29,6.20,1.03
55357.834103,2.34375,-2.34375,43.0,,2490.0,3.87,5.80,1.01
55358.571103,0.0,0.0,40.0,,2500.0,3.58,5.27,1.03
55359.271103,0.0,0.0,34.0,,2500.0,3.38,5.04,1.03
55359.926103,5.46875,0.0,33.0,,2490.0,3.30,4.99,1.03
55360.601103,1.5625,0.0,33.0,,2490.0,3.42,5.08,1.01
55361.323103,0.0,0.0,34.0,,2480.0,3.48,5.19,1.01
55362.028103,1.5625,0.0,34.0,,2480.0,3.28,4.83,1.03
55362.736103,5.46875,0.0,35.0,,2480.0,3.63,5.39,1.01
55363.400103,0.0,3.90625,35.0,,2440.0,2.17,3.48,1.03
55366.193103,0.0,0.0,23.0,,2200.0,0.00,0.00,1.11
